"transaction_id","agent_id","agent_role"
1,18,"Landlord Agent"
1,6,"Tenant Agent"
2,12,"Landlord Agent"
2,18,"Tenant Agent"
3,1,"Landlord Agent"
3,19,"Tenant Agent"
4,5,"Landlord Agent"
4,11,"Tenant Agent"
5,4,"Buyer Agent"
5,14,"Seller Agent"
6,12,"Buyer Agent"
6,6,"Seller Agent"
7,5,"Landlord Agent"
7,9,"Tenant Agent"
8,18,"Buyer Agent"
8,1,"Seller Agent"
9,9,"Buyer Agent"
9,17,"Seller Agent"
10,1,"Landlord Agent"
10,7,"Tenant Agent"
11,7,"Buyer Agent"
11,18,"Seller Agent"
12,6,"Buyer Agent"
12,12,"Seller Agent"
13,7,"Buyer Agent"
13,18,"Seller Agent"
14,11,"Landlord Agent"
14,17,"Tenant Agent"
15,13,"Landlord Agent"
15,7,"Tenant Agent"
16,16,"Buyer Agent"
16,10,"Seller Agent"
17,14,"Buyer Agent"
17,4,"Seller Agent"
18,19,"Buyer Agent"
18,18,"Seller Agent"
19,2,"Buyer Agent"
19,14,"Seller Agent"
20,5,"Landlord Agent"
20,9,"Tenant Agent"
21,11,"Landlord Agent"
21,3,"Tenant Agent"
22,9,"Landlord Agent"
22,11,"Tenant Agent"
23,17,"Landlord Agent"
23,11,"Tenant Agent"
24,16,"Landlord Agent"
24,10,"Tenant Agent"
25,4,"Landlord Agent"
25,14,"Tenant Agent"
26,4,"Buyer Agent"
26,20,"Seller Agent"
27,1,"Landlord Agent"
27,7,"Tenant Agent"
28,20,"Landlord Agent"
28,2,"Tenant Agent"
29,12,"Landlord Agent"
29,1,"Tenant Agent"
30,17,"Buyer Agent"
30,15,"Seller Agent"
31,17,"Landlord Agent"
31,11,"Tenant Agent"
32,1,"Buyer Agent"
32,19,"Seller Agent"
33,17,"Buyer Agent"
33,15,"Seller Agent"
34,18,"Landlord Agent"
34,19,"Tenant Agent"
35,8,"Landlord Agent"
35,10,"Tenant Agent"
36,15,"Buyer Agent"
36,17,"Seller Agent"
37,10,"Landlord Agent"
37,14,"Tenant Agent"
38,10,"Landlord Agent"
38,8,"Tenant Agent"
39,14,"Landlord Agent"
39,20,"Tenant Agent"
40,15,"Landlord Agent"
40,17,"Tenant Agent"
41,13,"Buyer Agent"
41,7,"Seller Agent"
42,2,"Landlord Agent"
42,10,"Tenant Agent"
43,7,"Buyer Agent"
43,13,"Seller Agent"
44,20,"Landlord Agent"
44,16,"Tenant Agent"
45,12,"Landlord Agent"
45,13,"Tenant Agent"
46,3,"Buyer Agent"
46,5,"Seller Agent"
47,11,"Landlord Agent"
47,17,"Tenant Agent"
48,2,"Buyer Agent"
48,14,"Seller Agent"
49,3,"Buyer Agent"
49,9,"Seller Agent"
50,13,"Landlord Agent"
50,18,"Tenant Agent"
51,20,"Landlord Agent"
51,16,"Tenant Agent"
52,13,"Landlord Agent"
52,6,"Tenant Agent"
53,13,"Landlord Agent"
53,1,"Tenant Agent"
