"transaction_id","client_id","role_type"
1,19,"Landlord"
2,16,"Landlord"
3,12,"Landlord"
3,11,"Tenant"
4,16,"Landlord"
4,11,"Tenant"
5,9,"Buyer"
5,1,"Seller"
6,8,"Buyer"
6,13,"Buyer"
6,5,"Seller"
7,7,"Landlord"
7,14,"Tenant"
8,11,"Buyer"
8,10,"Seller"
9,14,"Buyer"
9,16,"Seller"
10,16,"Landlord"
10,4,"Tenant"
11,17,"Buyer"
11,6,"Buyer"
11,3,"Seller"
12,17,"Buyer"
12,11,"Seller"
13,11,"Buyer"
13,2,"Buyer"
13,9,"Seller"
14,18,"Landlord"
14,16,"Tenant"
15,17,"Landlord"
15,8,"Tenant"
15,15,"Tenant"
16,2,"Buyer"
16,1,"Seller"
17,15,"Buyer"
17,13,"Seller"
18,18,"Seller"
19,13,"Seller"
20,2,"Landlord"
20,7,"Tenant"
21,15,"Landlord"
22,15,"Landlord"
22,5,"Tenant"
23,1,"Landlord"
23,2,"Tenant"
24,15,"Landlord"
24,7,"Tenant"
25,4,"Landlord"
25,6,"Tenant"
26,9,"Buyer"
26,12,"Buyer"
26,5,"Seller"
27,1,"Landlord"
27,19,"Tenant"
28,7,"Landlord"
28,5,"Tenant"
29,16,"Landlord"
29,20,"Tenant"
29,6,"Tenant"
30,19,"Buyer"
30,7,"Buyer"
30,8,"Seller"
31,11,"Landlord"
31,7,"Tenant"
32,5,"Buyer"
32,14,"Seller"
33,17,"Buyer"
33,19,"Seller"
34,1,"Landlord"
34,12,"Tenant"
35,1,"Landlord"
35,16,"Tenant"
35,14,"Tenant"
36,18,"Buyer"
36,9,"Buyer"
36,5,"Seller"
37,8,"Landlord"
37,11,"Tenant"
38,11,"Landlord"
38,2,"Tenant"
38,9,"Tenant"
39,7,"Landlord"
40,12,"Landlord"
40,10,"Tenant"
41,20,"Buyer"
41,13,"Seller"
42,9,"Landlord"
42,11,"Tenant"
42,10,"Tenant"
43,4,"Seller"
44,2,"Landlord"
44,19,"Tenant"
45,12,"Landlord"
45,15,"Tenant"
46,3,"Buyer"
46,1,"Buyer"
46,6,"Seller"
47,4,"Landlord"
47,17,"Tenant"
48,4,"Buyer"
48,1,"Buyer"
48,3,"Seller"
49,16,"Buyer"
49,7,"Seller"
50,12,"Landlord"
51,3,"Landlord"
51,12,"Tenant"
52,9,"Landlord"
52,4,"Tenant"
52,3,"Tenant"
53,18,"Landlord"
53,9,"Tenant"
54,10,"Landlord"
54,12,"Tenant"
54,11,"Tenant"
55,6,"Landlord"
55,12,"Tenant"
56,13,"Landlord"
56,9,"Tenant"
56,17,"Tenant"
57,1,"Buyer"
57,10,"Seller"
58,15,"Buyer"
58,12,"Buyer"
58,20,"Seller"
59,4,"Seller"
60,18,"Buyer"
60,3,"Buyer"
60,1,"Seller"
61,15,"Landlord"
61,18,"Tenant"
61,6,"Tenant"
62,15,"Landlord"
62,2,"Tenant"
62,18,"Tenant"
63,20,"Buyer"
63,19,"Seller"
64,11,"Buyer"
64,3,"Seller"
65,15,"Landlord"
65,20,"Tenant"
66,4,"Buyer"
66,12,"Buyer"
66,13,"Seller"
67,10,"Buyer"
67,18,"Seller"
68,15,"Landlord"
68,11,"Tenant"
69,16,"Buyer"
69,19,"Seller"
70,10,"Buyer"
70,5,"Seller"
71,19,"Buyer"
71,4,"Seller"
72,16,"Landlord"
72,14,"Tenant"
72,4,"Tenant"
73,8,"Buyer"
73,15,"Seller"
74,14,"Buyer"
74,4,"Buyer"
74,16,"Seller"
75,11,"Landlord"
75,10,"Tenant"
75,3,"Tenant"
76,12,"Landlord"
76,16,"Tenant"
76,20,"Tenant"
77,9,"Landlord"
77,18,"Tenant"
77,12,"Tenant"
78,20,"Landlord"
78,19,"Tenant"
79,1,"Landlord"
79,19,"Tenant"
79,7,"Tenant"
80,11,"Landlord"
80,6,"Tenant"
81,13,"Landlord"
81,14,"Tenant"
82,9,"Landlord"
82,15,"Tenant"
83,4,"Buyer"
83,9,"Buyer"
83,7,"Seller"
84,10,"Landlord"
84,16,"Tenant"
85,9,"Landlord"
85,14,"Tenant"
86,20,"Landlord"
86,14,"Tenant"
87,17,"Landlord"
87,15,"Tenant"
88,12,"Buyer"
88,10,"Buyer"
88,3,"Seller"
89,6,"Buyer"
89,13,"Seller"
90,9,"Landlord"
90,13,"Tenant"
91,10,"Landlord"
91,9,"Tenant"
91,1,"Tenant"
92,9,"Buyer"
92,6,"Buyer"
92,20,"Seller"
93,2,"Buyer"
93,5,"Seller"
94,1,"Landlord"
94,14,"Tenant"
95,11,"Buyer"
95,17,"Seller"
96,1,"Buyer"
96,10,"Buyer"
96,15,"Seller"
97,12,"Seller"
98,4,"Buyer"
98,2,"Buyer"
98,18,"Seller"
99,17,"Buyer"
99,14,"Seller"
100,4,"Buyer"
100,20,"Seller"
101,10,"Landlord"
101,17,"Tenant"
102,11,"Landlord"
102,15,"Tenant"
103,20,"Buyer"
103,6,"Seller"
104,13,"Landlord"
104,18,"Tenant"
105,20,"Landlord"
105,12,"Tenant"
105,17,"Tenant"
106,9,"Buyer"
106,3,"Seller"
107,18,"Buyer"
107,9,"Buyer"
107,15,"Seller"
108,4,"Landlord"
108,5,"Tenant"
109,15,"Landlord"
109,17,"Tenant"
110,17,"Landlord"
110,2,"Tenant"
111,14,"Landlord"
111,6,"Tenant"
111,7,"Tenant"
112,6,"Landlord"
112,5,"Tenant"
113,19,"Buyer"
113,8,"Seller"
114,5,"Landlord"
114,15,"Tenant"
114,8,"Tenant"
115,4,"Buyer"
115,3,"Buyer"
115,5,"Seller"
116,5,"Landlord"
116,19,"Tenant"
117,17,"Buyer"
117,15,"Buyer"
117,10,"Seller"
118,6,"Seller"
119,5,"Buyer"
119,16,"Buyer"
119,14,"Seller"
120,8,"Seller"
121,2,"Buyer"
121,19,"Buyer"
121,5,"Seller"
122,9,"Buyer"
122,19,"Buyer"
122,3,"Seller"
123,1,"Landlord"
123,19,"Tenant"
123,18,"Tenant"
124,15,"Landlord"
124,4,"Tenant"
125,5,"Landlord"
125,7,"Tenant"
126,7,"Buyer"
126,3,"Seller"
127,12,"Buyer"
127,1,"Seller"
128,17,"Landlord"
128,1,"Tenant"
128,5,"Tenant"
129,3,"Buyer"
129,19,"Seller"
130,6,"Landlord"
131,1,"Landlord"
131,15,"Tenant"
131,18,"Tenant"
132,2,"Buyer"
132,11,"Buyer"
132,15,"Seller"
133,6,"Landlord"
133,17,"Tenant"
134,2,"Buyer"
134,19,"Buyer"
134,1,"Seller"
135,10,"Buyer"
135,12,"Buyer"
135,8,"Seller"
136,6,"Landlord"
136,7,"Tenant"
137,11,"Landlord"
137,16,"Tenant"
137,9,"Tenant"
138,12,"Landlord"
138,17,"Tenant"
138,13,"Tenant"
139,19,"Landlord"
139,4,"Tenant"
139,11,"Tenant"
140,2,"Buyer"
140,5,"Seller"
141,13,"Buyer"
141,17,"Seller"
142,13,"Landlord"
142,9,"Tenant"
143,2,"Buyer"
143,13,"Buyer"
143,20,"Seller"
144,1,"Buyer"
144,4,"Seller"
145,8,"Landlord"
145,14,"Tenant"
145,16,"Tenant"
146,2,"Landlord"
146,16,"Tenant"
147,8,"Buyer"
147,7,"Seller"
148,15,"Landlord"
148,11,"Tenant"
149,2,"Landlord"
149,5,"Tenant"
150,12,"Landlord"
150,11,"Tenant"
151,15,"Landlord"
151,5,"Tenant"
151,3,"Tenant"
152,11,"Landlord"
152,20,"Tenant"
153,6,"Landlord"
153,17,"Tenant"
153,12,"Tenant"
154,10,"Buyer"
154,11,"Seller"
155,5,"Landlord"
155,10,"Tenant"
155,13,"Tenant"
156,13,"Landlord"
156,14,"Tenant"
157,1,"Buyer"
157,3,"Seller"
158,7,"Landlord"
158,6,"Tenant"
158,17,"Tenant"
159,14,"Landlord"
159,9,"Tenant"
160,19,"Landlord"
160,16,"Tenant"
160,2,"Tenant"
161,9,"Landlord"
161,18,"Tenant"
162,10,"Buyer"
162,9,"Seller"
163,4,"Landlord"
163,15,"Tenant"
164,4,"Buyer"
164,13,"Seller"
165,2,"Buyer"
165,19,"Buyer"
165,10,"Seller"
166,16,"Landlord"
166,15,"Tenant"
167,6,"Landlord"
167,11,"Tenant"
168,3,"Buyer"
168,14,"Seller"
169,10,"Buyer"
169,11,"Buyer"
169,1,"Seller"
170,20,"Seller"
171,17,"Buyer"
171,18,"Buyer"
171,12,"Seller"
172,11,"Buyer"
172,7,"Buyer"
172,2,"Seller"
173,17,"Landlord"
173,2,"Tenant"
174,15,"Buyer"
174,2,"Buyer"
174,14,"Seller"
175,8,"Buyer"
175,9,"Seller"
176,16,"Landlord"
176,13,"Tenant"
176,15,"Tenant"
177,18,"Landlord"
177,17,"Tenant"
178,11,"Buyer"
178,6,"Buyer"
178,14,"Seller"
179,2,"Landlord"
179,3,"Tenant"
180,1,"Landlord"
180,2,"Tenant"
181,1,"Landlord"
181,18,"Tenant"
182,16,"Landlord"
182,14,"Tenant"
183,6,"Landlord"
183,18,"Tenant"
184,19,"Landlord"
184,14,"Tenant"
185,20,"Seller"
186,2,"Landlord"
186,10,"Tenant"
186,1,"Tenant"
187,19,"Landlord"
