"transaction_id","listing_id","transaction_type","transaction_status","contract_date","closing_date","final_price","notes"
1,1,"Rent","Cancelled","2018-02-17",NULL,NULL,"T-NJ-2018-0110"
2,2,"Rent","Cancelled","2018-02-20",NULL,NULL,"T-NJ-2018-0099"
3,3,"Rent","Completed","2018-03-12","2018-03-20","3285.17","T-NJ-2018-0107"
4,4,"Rent","Pending","2018-03-22",NULL,NULL,"T-NY-2018-0105"
5,5,"Sale","Completed","2018-04-14","2018-05-02","767574.34","T-CT-2018-0013"
6,6,"Sale","Completed","2018-04-14","2018-05-09","675883.82","T-NJ-2018-0006"
7,7,"Rent","Completed","2018-04-15","2018-05-01","6068.15","T-NY-2018-0106"
8,8,"Sale","Completed","2018-04-20","2018-05-20","867986.55","T-NJ-2018-0012"
9,9,"Sale","Pending","2018-04-24",NULL,NULL,"T-NY-2018-0014"
10,10,"Rent","Completed","2018-05-21","2018-05-27","2775.09","T-NJ-2018-0115"
11,11,"Sale","Completed","2018-05-25","2018-07-16","909726.59","T-NJ-2018-0004"
12,12,"Sale","Completed","2018-06-01","2018-07-03","470871.06","T-NJ-2018-0010"
13,13,"Sale","Completed","2018-06-09","2018-07-23","624963.14","T-NJ-2018-0002"
14,14,"Rent","Cancelled","2018-06-13",NULL,NULL,"T-NY-2018-0111"
15,15,"Rent","Completed","2018-06-14","2018-07-04","2503.63","T-NJ-2018-0114"
16,16,"Sale","Completed","2018-06-18","2018-07-24","445064.69","T-CT-2018-0007"
17,17,"Sale","Completed","2018-07-02","2018-07-21","730449.72","T-CT-2018-0015"
18,18,"Sale","Cancelled","2018-07-15",NULL,NULL,"T-NJ-2018-0009"
19,19,"Sale","Cancelled","2018-07-25",NULL,NULL,"T-CT-2018-0011"
20,20,"Rent","Completed","2018-07-25","2018-08-14","6049.89","T-NY-2018-0104"
21,21,"Rent","Cancelled","2018-07-29",NULL,NULL,"T-NY-2018-0108"
22,22,"Rent","Completed","2018-08-08","2018-08-27","4900.77","T-NY-2018-0112"
23,23,"Rent","Completed","2018-08-09","2018-08-17","5636.91","T-NY-2018-0097"
24,24,"Rent","Completed","2018-08-14","2018-08-19","3298.89","T-CT-2018-0113"
25,25,"Rent","Completed","2018-08-30","2018-09-10","4324.39","T-CT-2018-0102"
26,26,"Sale","Completed","2018-09-02","2018-10-21","689159.24","T-CT-2018-0001"
27,27,"Rent","Completed","2018-09-14","2018-09-29","3692.56","T-NJ-2018-0109"
28,28,"Rent","Completed","2018-09-18","2018-10-01","4273.76","T-CT-2018-0101"
29,29,"Rent","Completed","2018-09-22","2018-10-08","3707.04","T-NJ-2018-0100"
30,30,"Sale","Pending","2018-09-25",NULL,NULL,"T-NY-2018-0005"
31,31,"Rent","Cancelled","2018-09-30",NULL,NULL,"T-NY-2018-0098"
32,32,"Sale","Completed","2018-10-07","2018-10-28","660478.43","T-NJ-2018-0008"
33,33,"Sale","Completed","2018-11-01","2018-12-16","1119170.96","T-NY-2018-0003"
34,34,"Rent","Completed","2018-11-19","2018-12-02","3411.43","T-NJ-2018-0103"
35,35,"Rent","Cancelled","2019-02-06",NULL,NULL,"T-CT-2019-0119"
36,36,"Sale","Completed","2019-02-09","2019-03-24","1391636.58","T-NY-2019-0018"
37,37,"Rent","Completed","2019-02-17","2019-02-25","4549.76","T-CT-2019-0134"
38,38,"Rent","Completed","2019-02-23","2019-03-10","4763.99","T-CT-2019-0121"
39,39,"Rent","Cancelled","2019-03-30",NULL,NULL,"T-CT-2019-0117"
40,40,"Rent","Completed","2019-04-03","2019-04-08","3936.83","T-NY-2019-0120"
41,41,"Sale","Completed","2019-04-04","2019-05-15","842077.45","T-NJ-2019-0016"
42,42,"Rent","Completed","2019-04-10","2019-04-26","4138.92","T-CT-2019-0132"
43,43,"Sale","Cancelled","2019-04-21",NULL,NULL,"T-NJ-2019-0030"
44,44,"Rent","Completed","2019-05-06","2019-05-17","4574.92","T-CT-2019-0131"
45,45,"Rent","Completed","2019-05-06","2019-05-14","3719.08","T-NJ-2019-0130"
46,46,"Sale","Completed","2019-05-14","2019-06-28","967367.33","T-NY-2019-0026"
47,47,"Rent","Completed","2019-05-17","2019-05-23","5320.94","T-NY-2019-0128"
48,48,"Sale","Completed","2019-05-29","2019-07-02","466658.04","T-CT-2019-0019"
49,49,"Sale","Cancelled","2019-06-08",NULL,NULL,"T-NY-2019-0031"
50,50,"Rent","Cancelled","2019-06-13",NULL,NULL,"T-NJ-2019-0127"
51,51,"Rent","Completed","2019-06-23","2019-06-28","4241.76","T-CT-2019-0118"
52,52,"Rent","Completed","2019-07-05","2019-07-10","4099.11","T-NJ-2019-0122"
53,53,"Rent","Completed","2019-07-08","2019-07-13","3400.68","T-NJ-2019-0126"
54,54,"Rent","Completed","2019-07-12","2019-07-25","3114.32","T-NJ-2019-0129"
55,55,"Rent","Completed","2019-07-16","2019-08-02","4626.50","T-CT-2019-0133"
56,56,"Rent","Pending","2019-07-19",NULL,NULL,"T-CT-2019-0125"
57,57,"Sale","Completed","2019-07-22","2019-09-19","694596.13","T-CT-2019-0021"
58,58,"Sale","Completed","2019-07-31","2019-08-22","1046672.75","T-NY-2019-0029"
59,59,"Sale","Cancelled","2019-08-12",NULL,NULL,"T-NJ-2019-0024"
60,60,"Sale","Completed","2019-08-20","2019-10-15","1238281.28","T-NY-2019-0025"
61,61,"Rent","Completed","2019-08-22","2019-09-04","4095.35","T-NY-2019-0123"
62,62,"Rent","Completed","2019-09-05","2019-09-21","3551.43","T-NJ-2019-0124"
63,63,"Sale","Completed","2019-09-20","2019-11-07","722136.63","T-NJ-2019-0023"
64,64,"Sale","Completed","2019-10-08","2019-11-03","1431848.67","T-NY-2019-0027"
65,65,"Rent","Cancelled","2019-10-11",NULL,NULL,"T-CT-2019-0116"
66,66,"Sale","Completed","2019-10-12","2019-12-06","942276.01","T-NY-2019-0028"
67,67,"Sale","Completed","2019-11-02","2019-12-21","976077.52","T-CT-2019-0020"
68,68,"Rent","Completed","2019-11-02","2019-11-14","3784.64","T-NY-2019-0135"
69,69,"Sale","Completed","2019-11-13","2019-12-31","957391.40","T-CT-2019-0017"
70,70,"Sale","Completed","2019-11-14","2019-12-11","775775.96","T-CT-2019-0022"
71,71,"Sale","Pending","2020-01-30",NULL,NULL,"T-NY-2020-0045"
72,72,"Rent","Completed","2020-02-11","2020-02-20","5399.15","T-CT-2020-0146"
73,73,"Sale","Completed","2020-03-05","2020-04-01","1066141.71","T-CT-2020-0039"
74,74,"Sale","Completed","2020-03-06","2020-04-25","1074411.12","T-CT-2020-0038"
75,75,"Rent","Completed","2020-03-10","2020-03-28","4399.66","T-CT-2020-0147"
76,76,"Rent","Completed","2020-03-12","2020-03-22","3835.97","T-NJ-2020-0151"
77,77,"Rent","Completed","2020-03-15","2020-03-23","3167.77","T-NY-2020-0150"
78,78,"Rent","Pending","2020-03-21",NULL,NULL,"T-NJ-2020-0144"
79,79,"Rent","Completed","2020-04-07","2020-04-16","3925.75","T-CT-2020-0148"
80,80,"Rent","Completed","2020-04-12","2020-04-20","3226.56","T-NJ-2020-0143"
81,81,"Rent","Completed","2020-04-16","2020-05-02","3423.38","T-CT-2020-0139"
82,82,"Rent","Pending","2020-04-28",NULL,NULL,"T-CT-2020-0145"
83,83,"Sale","Completed","2020-05-14","2020-06-19","510023.12","T-NJ-2020-0035"
84,84,"Rent","Pending","2020-05-14",NULL,NULL,"T-NY-2020-0142"
85,85,"Rent","Completed","2020-05-20","2020-05-31","5301.16","T-NY-2020-0138"
86,86,"Rent","Completed","2020-06-15","2020-06-25","3890.29","T-CT-2020-0140"
87,87,"Rent","Pending","2020-06-16",NULL,NULL,"T-CT-2020-0141"
88,88,"Sale","Pending","2020-06-29",NULL,NULL,"T-CT-2020-0040"
89,89,"Sale","Completed","2020-07-06","2020-07-22","533759.90","T-CT-2020-0032"
90,90,"Rent","Completed","2020-07-17","2020-07-28","4104.66","T-NY-2020-0137"
91,91,"Rent","Completed","2020-07-23","2020-07-31","3194.40","T-CT-2020-0149"
92,92,"Sale","Completed","2020-07-27","2020-09-11","982976.50","T-NJ-2020-0044"
93,93,"Sale","Completed","2020-08-23","2020-10-21","454702.46","T-NJ-2020-0043"
94,94,"Rent","Completed","2020-09-03","2020-09-09","4880.24","T-NY-2020-0152"
95,95,"Sale","Completed","2020-09-13","2020-11-11","1189964.49","T-NY-2020-0033"
96,96,"Sale","Completed","2020-09-21","2020-10-10","473275.27","T-NJ-2020-0036"
97,97,"Sale","Cancelled","2020-10-11",NULL,NULL,"T-NY-2020-0034"
98,98,"Sale","Completed","2020-11-03","2020-12-31","454073.88","T-NJ-2020-0041"
99,99,"Sale","Cancelled","2020-11-05",NULL,NULL,"T-NY-2020-0042"
100,100,"Sale","Completed","2020-11-10","2020-12-20","680225.46","T-CT-2020-0037"
101,101,"Rent","Completed","2020-11-12","2020-11-23","3461.26","T-NJ-2020-0136"
102,102,"Rent","Completed","2021-01-29","2021-02-16","3520.24","T-NJ-2021-0160"
103,103,"Sale","Completed","2021-01-30","2021-02-23","1483903.34","T-NY-2021-0051"
104,104,"Rent","Completed","2021-02-06","2021-02-24","3357.28","T-NJ-2021-0164"
105,105,"Rent","Completed","2021-02-11","2021-02-23","3783.69","T-NJ-2021-0163"
106,106,"Sale","Completed","2021-02-17","2021-04-15","557344.85","T-CT-2021-0060"
107,107,"Sale","Completed","2021-02-21","2021-04-01","983499.36","T-NJ-2021-0058"
108,108,"Rent","Completed","2021-02-25","2021-03-09","3533.21","T-NJ-2021-0173"
109,109,"Rent","Cancelled","2021-03-01",NULL,NULL,"T-NJ-2021-0166"
110,110,"Rent","Completed","2021-03-02","2021-03-22","4467.33","T-NY-2021-0158"
111,111,"Rent","Completed","2021-03-12","2021-03-18","4622.83","T-CT-2021-0153"
112,112,"Rent","Completed","2021-04-04","2021-04-14","4191.07","T-NJ-2021-0161"
113,113,"Sale","Completed","2021-04-19","2021-06-13","994391.22","T-NJ-2021-0064"
114,114,"Rent","Completed","2021-05-07","2021-05-15","4536.98","T-CT-2021-0156"
115,115,"Sale","Cancelled","2021-05-10",NULL,NULL,"T-CT-2021-0054"
116,116,"Rent","Cancelled","2021-05-14",NULL,NULL,"T-CT-2021-0159"
117,117,"Sale","Completed","2021-06-01","2021-07-12","1047407.42","T-NJ-2021-0046"
118,118,"Sale","Cancelled","2021-06-05",NULL,NULL,"T-NJ-2021-0050"
119,119,"Sale","Completed","2021-06-20","2021-07-30","780603.70","T-CT-2021-0062"
120,120,"Sale","Cancelled","2021-06-22",NULL,NULL,"T-NY-2021-0056"
121,121,"Sale","Pending","2021-06-29",NULL,NULL,"T-NY-2021-0053"
122,122,"Sale","Pending","2021-07-02",NULL,NULL,"T-CT-2021-0061"
123,123,"Rent","Pending","2021-07-04",NULL,NULL,"T-NY-2021-0154"
